hex9,value
89196bb6237ffff,9302
89196bb002fffff,2692
89196b863c7ffff,5498
89196baa28bffff,8622
89196ba853bffff,7246
89196bae15bffff,2752
89196bb803bffff,8464
8919694ab37ffff,5175
89196bb86d7ffff,68
89196979507ffff,7862
89196ba7227ffff,8945
89196bb5587ffff,7721
89196bb0493ffff,1445
8919694c677ffff,7653
89196ba4157ffff,8948
89196ba063bffff,4711
89196ba5663ffff,8599
89196ba2aabffff,8854
89196b84e2fffff,6986
89196943107ffff,5903
891fa496603ffff,6643
89196ba2c1bffff,3641
89196948bb3ffff,1083
89196bace63ffff,5699
89196bb9447ffff,768
89196bb3493ffff,5310
89196b15c13ffff,5584
89196ba6e5bffff,859
89196bbaccbffff,4409
89196baf1d7ffff,4136
89196ba5ecfffff,8457
89196b3a6cbffff,1
89196bba5b3ffff,802
89196b8719bffff,4065
8919697b20bffff,4779
89196ba099bffff,4525
89196ba4c7bffff,4745
89196969e23ffff,2566
891fa4934dbffff,965
89196bb4dcfffff,2651
8919694e3c3ffff,4863
89196bb1a43ffff,6447
8919694a543ffff,1073
89196ba5bc7ffff,8465
8919694052bffff,8988
89196bba19bffff,2112
8919694eb0bffff,6639
89196bb8467ffff,3456
89196baa517ffff,2420
89196b96413ffff,3571
89196bb4447ffff,8327
89196bbb647ffff,161
89196ba24dbffff,3866
89196ba0bcbffff,4445
89196bb03d7ffff,9923
8919696b523ffff,4085
89196ba5173ffff,640
89196b94d4bffff,1090
89196bb68c7ffff,8635
8919696303bffff,9808
89196b86d17ffff,2346
8919696920fffff,3959
89196ba7127ffff,4190
89196ba6197ffff,1628
89196b14037ffff,3838
89196ba2e67ffff,2574
8919694a09bffff,3369
8919696a40fffff,716
8919696a2b3ffff,3752
8919694aeb7ffff,2842
89196bb4253ffff,812
89196bba807ffff,4016
89196bb9c43ffff,3954
8919696aecfffff,3330
8919697a84bffff,1718
89196bb712bffff,8204
8919694db57ffff,2030
89196ba6cafffff,2336
89196b04e67ffff,7986
89196bb95afffff,7645
89196978d1bffff,4833
89196bb2e23ffff,2939
89196baf027ffff,6431
89196b1630bffff,8747
8919694ae5bffff,9282
89196ba022fffff,6386
891969400dbffff,217
89196bb189bffff,7112
89196bbb2afffff,7962
89196baa8b3ffff,4766
891fa492097ffff,7205
8919694ab0fffff,1911
89196b863afffff,9365
89196b8602bffff,5911
89196961237ffff,6266
8919694c44bffff,1220
89196b14417ffff,6847
89196b04c33ffff,3341
89196bb1567ffff,9269
8919696938bffff,3089
89196b32bc7ffff,9600
89196bb34c7ffff,1530
89196962653ffff,4641
89196b05e8fffff,6105
89196bac4b3ffff,9237
89196bb21abffff,3898
89196bb046fffff,2898
89196bb0dc7ffff,4936
89196bbb037ffff,7504
89196bb6b43ffff,4526
8919694dd57ffff,9608
89196b84b0bffff,6469
89196948d03ffff,3787
89196bb4a9bffff,5089
89196bb557bffff,7810
89196ba320fffff,7745
89196958bd3ffff,890
8919694d9bbffff,9598
89196b84957ffff,2875
89196969eb3ffff,7608
89196bb9d87ffff,8174
89196940c87ffff,2399
